CPU Name,Cores,CPU Mark,Thread Mark,TDP (W),Socket,Category
AMD Athlon Dual Core 4450e,2,710,802,45,AM2,Desktop
AMD Athlon Dual Core 4850B,2,727,887,45,AM2+,Desktop
AMD Athlon Dual Core 4850e,2,799,906,45,AM2,Desktop
AMD Athlon Dual Core 5000B,2,856,942,65,AM2,Desktop
AMD Athlon Dual Core 5050e,2,846,917,45,AM2,Desktop
AMD Athlon Dual Core 5200B,2,823,966,65,AM2,Desktop
AMD Athlon Dual Core 5400B,2,914,985,65,AM2,Desktop
AMD Athlon Dual Core 5600B,2,737,"1,003",65,AM2+,Desktop
AMD Athlon Gold 3150C,2,"3,110","1,534",15,FP5,"Laptop, Mobile/Embedded"
AMD Athlon Gold 3150G,4,"6,922","2,212",65,AM4,Desktop
AMD Athlon Gold 3150U,2,"3,903","1,715",15,FP5,Laptop
AMD Athlon Gold 7220U,2,"4,900","2,206",15,FP6,Laptop
AMD Athlon Gold PRO 3150G,4,"7,468","2,305",65,AM4,Desktop
AMD Athlon Gold PRO 3150GE,4,"7,006","2,165",35,AM4,Desktop
AMD Athlon Gold PRO 4150GE,4,"8,259","2,384",35,FP6,Laptop
AMD Athlon II 160u,1,358,717,20,Unknown,Desktop
AMD Athlon II 170u,1,355,731,20,"AM2+,AM3",Desktop
AMD Athlon II Dual-Core M300,2,670,776,35,Unknown,Laptop
AMD Athlon II Dual-Core M320,2,770,856,35,Unknown,Laptop
AMD Athlon II Dual-Core M340,2,807,858,35,Unknown,Laptop
AMD Athlon II N330 Dual-Core,2,665,813,35,Unknown,Laptop
AMD Athlon II N350 Dual-Core,2,856,983,35,Unknown,Laptop
AMD Athlon II N370 Dual-Core,2,899,913,35,S1g4,Laptop
AMD Athlon II Neo K125,1,315,616,12,S1,Laptop
AMD Athlon II Neo K145,1,298,592,12,S1,Laptop
AMD Athlon II Neo K325 Dual-Core,2,439,495,12,Unknown,Laptop
AMD Athlon II Neo K345 Dual-Core,2,527,552,12,Unknown,Laptop
AMD Athlon II Neo N36L Dual-Core,2,487,524,12,Unknown,Laptop
AMD Athlon II P320 Dual-Core,2,714,823,25,Unknown,Laptop
AMD Athlon II P340 Dual-Core,2,727,849,25,S1g4,Laptop
AMD Athlon II P360 Dual-Core,2,762,876,25,S1g4,Laptop
AMD Athlon II X2 210e,2,"1,089","1,051",45,AM3,Desktop
AMD Athlon II X2 215,2,"1,011","1,049",65,AM3,Desktop
AMD Athlon II X2 220,2,"1,049","1,093",65,AM3,Desktop
AMD Athlon II X2 235e,2,"1,079","1,098",45,AM3,Desktop
AMD Athlon II X2 240,2,"1,060","1,078",65,AM3,Desktop
AMD Athlon II X2 240e,2,"1,007","1,097",45,AM3,Desktop
AMD Athlon II X2 245,2,"1,137","1,136",65,AM2+/AM3,Desktop
AMD Athlon II X2 245e,2,"1,133","1,174",45,AM3,Desktop
AMD Athlon II X2 250,2,"1,183","1,197",65,AM3,Desktop
AMD Athlon II X2 250e,2,"1,202","1,204",45,AM3,Desktop
AMD Athlon II X2 250u,2,615,641,25,AM3,Desktop
AMD Athlon II X2 255,2,"1,210","1,235",65,AM3,Desktop
AMD Athlon II X2 260,2,"1,248","1,287",65,AM3,Desktop
AMD Athlon II X2 260u,2,713,716,25,AM3,Desktop
AMD Athlon II X2 265,2,"1,324","1,349",65,AM3,Desktop
AMD Athlon II X2 270,2,"1,337","1,341",65,AM3,Desktop
AMD Athlon II X2 270u,2,675,791,25,AM3,Desktop
AMD Athlon II X2 280,2,"1,384","1,468",65,AM3,Desktop
AMD Athlon II X2 4300e,2,990,"1,074",13,Unknown,Desktop
AMD Athlon II X2 4400e,2,944,"1,063",37,Unknown,Desktop
AMD Athlon II X2 4450e,2,587,667,45,AM2,Desktop
AMD Athlon II X2 B22,2,"1,064","1,125",65,AM3,Desktop
AMD Athlon II X2 B24,2,"1,133","1,185",65,AM3,Desktop
AMD Athlon II X2 B26,2,"1,248","1,276",65,Unknown,Unknown
AMD Athlon II X2 B28,2,"1,288","1,357",65,AM3,Desktop
AMD Athlon II X3 400e,3,"1,320",908,45,AM3,Desktop
AMD Athlon II X3 405e,3,"1,331",973,45,AM3,Desktop
AMD Athlon II X3 415e,3,"1,481","1,028",45,AM3,Desktop
AMD Athlon II X3 420e,3,"1,557","1,058",45,AM3,Desktop
AMD Athlon II X3 425,3,"1,594","1,086",95,AM3,Desktop
AMD Athlon II X3 435,3,"1,645","1,164",95,AM3,Desktop
AMD Athlon II X3 440,3,"1,743","1,204",95,AM3,Desktop
AMD Athlon II X3 445,3,"1,807","1,254",95,AM3,Desktop
AMD Athlon II X3 450,3,"1,865","1,299",95,AM3,Desktop
AMD Athlon II X3 455,3,"1,938","1,333",95,AM3,Desktop
AMD Athlon II X3 460,3,"1,965","1,379",95,AM3,Desktop
AMD Athlon II X4 553,4,"2,418","1,204",NA,Unknown,Desktop
AMD Athlon II X4 555,4,"2,526","1,244",NA,Unknown,Desktop
AMD Athlon II X4 557,4,"2,567","1,345",160,AM3,Desktop
AMD Athlon II X4 559,4,"2,652","1,397",NA,Unknown,Desktop
AMD Athlon II X4 600e,4,"1,795",913,45,AM3,Desktop
AMD Athlon II X4 605e,4,"1,964","1,001",45,AM3,Desktop
AMD Athlon II X4 610e,4,"1,959","1,039",45,AM3,Desktop
AMD Athlon II X4 615e,4,"2,018","1,033",45,AM3,Desktop
AMD Athlon II X4 620,4,"2,009","1,051",95,AM3,Desktop
AMD Athlon II X4 630,4,"2,175","1,131",95,AM3,Desktop
AMD Athlon II X4 631 Quad-Core,4,"2,118","1,115",100,FM1,Desktop
AMD Athlon II X4 635,4,"2,250","1,170",95,AM3,Desktop
AMD Athlon II X4 638 Quad-Core,4,"2,260","1,158",65,FM1,Desktop
AMD Athlon II X4 640,4,"2,272","1,212",95,AM3,Desktop
AMD Athlon II X4 641 Quad-Core,4,"2,313","1,189",100,FM1,Desktop
AMD Athlon II X4 645,4,"2,375","1,259",95,AM3,Desktop
AMD Athlon II X4 650,4,"2,490","1,310",95,Unknown,Desktop
AMD Athlon II X4 651 Quad-Core,4,"2,433","1,269",100,FM1,Desktop
AMD Athlon II X4 655,4,"2,487","1,430",95,AM2+ (940-pin),Desktop
AMD Athlon L110,1,211,328,13,Unknown,Unknown
AMD Athlon LE-1600,1,412,430,45,AM2,Desktop
AMD Athlon LE-1620,1,421,475,45,AM2,Desktop
AMD Athlon LE-1640,1,430,489,45,AM2,Desktop
AMD Athlon LE-1660,1,416,428,45,AM2,Desktop
AMD Athlon Neo MV-40,1,281,487,15,Unknown,Unknown
AMD Athlon Neo X2 Dual Core 6850e,2,456,566,22,Unknown,Unknown
AMD Athlon Neo X2 Dual Core L325,2,556,567,18,Unknown,Unknown
AMD Athlon Neo X2 Dual Core L335,2,529,570,18,Unknown,Unknown
AMD Athlon PRO 200GE,2,"3,816","1,768",35,AM4,Desktop
AMD Athlon PRO 300GE,2,"4,342","1,889",35,AM4,Desktop
AMD Athlon PRO 300U,2,"4,080","1,931",15,FP5,Laptop
AMD Athlon PRO 3045B,2,"2,770","1,520",15,FP5,Laptop
AMD Athlon Silver 3050C,2,"2,879","1,809",15,FP5,Laptop
AMD Athlon Silver 3050e,2,"2,990","1,448",6,Unknown,Laptop
AMD Athlon Silver 3050GE,2,"4,545","2,016",35,AM4,Laptop
AMD Athlon Silver 3050U,2,"2,951","1,693",15,FP5,Laptop
