Videocard Name,G3D Mark,G2D Mark,TDP (W),VRAM (MB),Category
GeForce 8800M GTS,382,159,50,512 MB,Mobile
GeForce 8800M GTX,462,175,65,512 MB,Mobile
GeForce 9100,82,345,NA,NA,Unknown
GeForce 9100M G,83,42,NA,NA,Mobile
GeForce 910M,598,110,NA,NA,Mobile
GeForce 9200,168,24,NA,NA,Unknown
GeForce 9200M GE,144,61,NA,NA,Mobile
GeForce 9200M GS,129,46,13,256 MB,Mobile
GeForce 920A,829,158,NA,NA,Unknown
GeForce 920M,717,120,NA,NA,Mobile
GeForce 920MX,"1,061",149,NA,NA,Unknown
GeForce 9300,127,385,NA,NA,Unknown
GeForce 9300 / nForce 730i,129,367,NA,NA,Unknown
GeForce 9300 GE,109,35,NA,256 MB,Desktop
GeForce 9300 GS,102,80,NA,256 MB,Desktop
GeForce 9300 SE,82,344,NA,NA,Unknown
GeForce 9300GE,98,367,NA,NA,Unknown
GeForce 9300M G,85,242,13,256 MB,Mobile
GeForce 9300M GS,128,23,13,256 MB,Mobile
GeForce 930A,"1,218",199,NA,NA,Unknown
GeForce 930M,"1,012",148,NA,NA,Mobile
GeForce 930MX,"1,274",194,17,2048 MB,Mobile
GeForce 9400,147,50,NA,NA,Unknown
GeForce 9400 GT,196,37,50,1024 MB,Desktop
GeForce 9400M,101,55,NA,NA,Mobile
GeForce 9400M G,148,39,12,256 MB,Mobile
GeForce 940A,"1,114",192,NA,NA,Unknown
GeForce 940M,"1,133",153,33,2048 MB,Mobile
GeForce 940MX,"1,510",173,NA,NA,Unknown
GeForce 9450,105,342,NA,NA,Unknown
GeForce 945A,"1,852",716,NA,NA,Unknown
GeForce 945M,"2,109",240,NA,NA,Mobile
GeForce 9500 GS,216,34,NA,NA,Unknown
GeForce 9500 GT,190,33,50,1024 MB,Desktop
GeForce 9500M,104,320,NA,NA,Mobile
GeForce 9500M G,122,172,20,512 MB,Mobile
GeForce 9500M GS,133,54,20,512 MB,Mobile
GeForce 9600 GS,282,41,NA,768 MB,Desktop
GeForce 9600 GSO,323,90,84,1536 MB,Desktop
GeForce 9600 GSO 512,330,79,90,512 MB,Desktop
GeForce 9600 GT,473,42,95,1024 MB,Desktop
GeForce 9600M GS,131,58,20,1024 MB,Mobile
GeForce 9600M GT,163,25,23,512 MB,Mobile
GeForce 9600M GT / GeForce GT 220M,293,291,NA,NA,Mobile
GeForce 9650M GS,270,328,29,512 MB,Mobile
GeForce 9650M GT,137,57,23,1024 MB,Mobile
GeForce 9700M GT,327,97,45,512 MB,Mobile
GeForce 9700M GTS,312,33,60,512 MB,Mobile
GeForce 9800 GT,448,53,125,1024 MB,Desktop
GeForce 9800 GT 1024MB,134,315,NA,NA,Unknown
GeForce 9800 GTX,769,366,140,512 MB,Desktop
GeForce 9800 GTX+,489,75,141,1024 MB,Desktop
GeForce 9800 GTX/9800 GTX+,571,78,NA,NA,Unknown
GeForce 9800 GX2,613,262,197,2 MB,Desktop
GeForce 9800 S,636,427,NA,NA,Unknown
GeForce 9800M GS,517,44,60,512 MB,Mobile
GeForce 9800M GT,381,81,65,512 MB,Mobile
GeForce 9800M GTS,357,72,75,512 MB,Mobile
GeForce 9800M GTX,454,89,75,1024 MB,Mobile
GeForce 999 GTX,84,138,NA,NA,Unknown
GeForce FX 5100,8,247,NA,NA,Unknown
GeForce FX 5200,8,154,NA,128 MB,Desktop
GeForce FX 5200 Ultra,12,138,NA,128 MB,Desktop
GeForce FX 5200LE,7,170,NA,NA,Unknown
GeForce FX 5200SE,12,194,NA,NA,Unknown
GeForce FX 5500,8,152,NA,256 MB,Desktop
GeForce FX 5600,13,168,NA,256 MB,Desktop
GeForce FX 5600 Ultra,17,122,NA,128 MB,Desktop
GeForce FX 5600XT,9,166,NA,NA,Unknown
GeForce FX 5700,41,173,NA,256 MB,Desktop
GeForce FX 5700 Ultra,34,126,NA,256 MB,Desktop
GeForce FX 5700LE,25,147,NA,256 MB,Desktop
GeForce FX 5700VE,33,161,NA,256 MB,Desktop
GeForce FX 5900,35,188,NA,128 MB,Desktop
GeForce FX 5900 Ultra,41,170,NA,256 MB,Desktop
GeForce FX 5900XT,40,134,NA,128 MB,Desktop
GeForce FX 5900ZT,33,129,NA,128 MB,Desktop
GeForce FX 5950 Ultra,59,274,NA,256 MB,Desktop
GeForce FX Go 5200,8,190,NA,32 MB,Mobile
GeForce FX Go 5600,18,186,NA,32 MB,Mobile
GeForce FX Go5300,13,159,NA,NA,Unknown
GeForce FX Go5650,17,211,NA,NA,Unknown
GeForce FX Go5700,51,171,NA,NA,Unknown
GeForce G 103M,63,34,14,512 MB,Mobile
GeForce G 105M,92,20,14,512 MB,Mobile
GeForce G100,176,63,NA,NA,Unknown
GeForce G102M,168,59,NA,NA,Mobile
GeForce G105M,133,31,NA,NA,Mobile
GeForce G200,136,82,NA,NA,Unknown
GeForce G205M,92,294,NA,NA,Mobile
GeForce G210,147,36,NA,NA,Unknown
GeForce G210M,129,18,14,512 MB,Mobile
GeForce Go 6100,18,181,NA,NA,Unknown
GeForce Go 6150,19,92,NA,NA,Unknown
GeForce Go 6200,15,204,NA,16 MB,Mobile
GeForce Go 6400,24,212,NA,16 MB,Mobile
GeForce Go 6600,69,209,NA,128 MB,Mobile
GeForce Go 6600 TE/6200 TE,45,223,NA,NA,Unknown
GeForce Go 6800,106,205,NA,128 MB,Mobile
GeForce Go 6800 Ultra,138,198,NA,256 MB,Mobile
GeForce Go 7200,45,199,NA,64 MB,Mobile
GeForce Go 7300,52,114,NA,512 MB,Mobile
GeForce Go 7400,66,112,NA,256 MB,Mobile
GeForce Go 7600,128,220,NA,512 MB,Mobile
GeForce Go 7600 GT,210,125,NA,256 MB,Mobile
GeForce Go 7700,148,232,NA,512 MB,Mobile
GeForce Go 7800,115,209,35,256 MB,Mobile
GeForce Go 7800 GTX,210,239,65,256 MB,Mobile
GeForce Go 7900 GS,178,88,20,256 MB,Mobile
GeForce Go 7900 GTX,270,264,45,256 MB,Mobile
GeForce Go 7950 GTX,264,283,45,512 MB,Mobile
GeForce GPU,"1,153",156,NA,1024 MB,Mobile
GeForce GT 1010,972,257,NA,NA,Unknown
GeForce GT 1030,"2,403",443,30,2048 MB,Desktop
GeForce GT 120,187,46,50,512 MB,Desktop
GeForce GT 120 / 9500 GT,325,327,NA,NA,Unknown
GeForce GT 120M,151,32,23,1024 MB,Mobile
GeForce GT 130,381,109,75,1536 MB,Desktop
GeForce GT 130M,145,29,23,1024 MB,Mobile
GeForce GT 140,658,225,105,1024 MB,Desktop
GeForce GT 220,223,43,58,1024 MB,Desktop
GeForce GT 220M,161,61,14,1024 MB,Mobile
GeForce GT 230,323,70,NA,NA,Unknown
GeForce GT 230M,221,38,23,1024 MB,Mobile
GeForce GT 240,488,43,69,1024 MB,Desktop
GeForce GT 240M,212,48,23,1024 MB,Mobile
GeForce GT 320,470,59,43,1024 MB,Desktop
GeForce GT 320M,114,32,14,1024 MB,Mobile
GeForce GT 325M,170,49,23,1024 MB,Mobile
GeForce GT 330,392,51,NA,NA,Unknown
GeForce GT 330M,220,40,23,1024 MB,Mobile
GeForce GT 335M,368,27,28,1024 MB,Mobile
GeForce GT 340,738,242,69,1024 MB,Desktop
GeForce GT 415,251,249,NA,NA,Unknown
GeForce GT 415M,286,221,12,512 MB,Mobile
GeForce GT 420,433,194,50,1024 MB,Desktop
GeForce GT 420M,392,91,23,512 MB,Mobile
GeForce GT 425M,499,170,23,1024 MB,Mobile
GeForce GT 430,600,208,49,1024 MB,Desktop
GeForce GT 435M,536,176,35,2048 MB,Mobile
GeForce GT 440,770,242,65,2048 MB,Desktop
GeForce GT 445M,811,203,35,1536 MB,Mobile
GeForce GT 520,325,136,29,2048 MB,Desktop
GeForce GT 520M,285,77,12,1024 MB,Mobile
GeForce GT 520MX,290,54,20,1024 MB,Mobile
GeForce GT 525M,449,96,20,1024 MB,Mobile
GeForce GT 530,659,238,50,2048 MB,Desktop
GeForce GT 540M,474,91,32,1024 MB,Mobile
GeForce GT 545,"1,115",329,NA,NA,Unknown
GeForce GT 550M,561,116,32,1024 MB,Mobile
GeForce GT 555M,647,110,30,1024 MB,Mobile
GeForce GT 610,332,134,29,2048 MB,Desktop
GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,369,824,NA,NA,Mobile
GeForce GT 620,391,158,30,512 MB,Desktop
GeForce GT 620M,431,128,15,2048 MB,Mobile
GeForce GT 625,375,189,30,1024 MB,Desktop
GeForce GT 625M,485,139,15,2048 MB,Mobile
GeForce GT 630,686,242,50,2048 MB,Desktop
GeForce GT 630M,520,151,33,2048 MB,Mobile
GeForce GT 635,811,232,NA,NA,Unknown
GeForce GT 635M,538,170,35,1536 MB,Mobile
GeForce GT 640,"1,168",299,65,4096 MB,Desktop
GeForce GT 640M,887,203,32,2048 MB,Mobile
GeForce GT 640M LE,699,171,32,2048 MB,Mobile
GeForce GT 645,"2,006",443,NA,NA,Unknown
GeForce GT 645M,944,167,32,2048 MB,Mobile
GeForce GT 650M,"1,187",239,45,2048 MB,Mobile
GeForce GT 705,370,163,29,1024 MB,Desktop
GeForce GT 710,619,214,25,2048 MB,Desktop
GeForce GT 710M,431,117,NA,NA,Mobile
GeForce GT 720,659,225,19,2048 MB,Desktop
GeForce GT 720A,567,207,NA,NA,Unknown
GeForce GT 720M,439,119,NA,2048 MB,Mobile
GeForce GT 730,824,258,49,2048 MB,Desktop
GeForce GT 730A,743,714,NA,NA,Unknown
